"","application_id","call_sign"
"1",2037197,"KKQA"
"2",87737,"DWXIV-TV"
"3",593799,"KRUA"
"4",190597,"K201CH"
"5",256873,"KCUK"
"6",201689,"WTTH"
"7",1447369,"K201BI"
"8",119687,"KLAB"
"9",1721935,"KIYU-FM"
"10",98160,"K201AM"
"11",1663513,"KAKI"
"12",152294,"K201AH"
"13",1563916,"KOGJ"
"14",197879,"KPEJ-TV"
"15",1654522,"K201EG"
"16",1736148,"K201DA"
"17",597425,"K201AG"
"18",153882,"K201AV"
"19",182174,"K201AL"
"20",84319,"K201AO"
"21",1364607,"K201CL"
"22",1763796,"WKRE"
"23",1564228,"WSJL"
"24",632470,"WAYH"
"25",1411889,"KBAP"
"26",1745205,"KRQA"
"27",1327209,"KARH"
"28",578915,"KBPW"
"29",199537,"WVEA-TV"
"30",1480608,"KGIF"
"31",167244,"K13RN-D"
"32",1224767,"K201IB"
"33",492632,"K201ER"
"34",1034050,"KUYI"
"35",144607,"KYBE"
"36",166383,"WTKS-FM"
"37",1505715,"KREE"
"38",149479,"WCDZ"
"39",47324,"KNNB"
"40",173078,"KCFY"
"41",1679110,"KRTM"
"42",159877,"K201BV"
"43",1549053,"KWTF"
"44",1752291,"KDUP"
"45",26312,"K201AD"
"46",1076164,"KECG"
"47",1492692,"KMUE"
"48",1144123,"K201HR"
"49",18468,"KFCF"
"50",1538085,"KPFZ-FM"
"51",1412774,"KLWG"
"52",1638002,"KLWG"
"53",1045212,"KKJZ"
"54",1112525,"K201FW"
"55",189388,"WSGH"
"56",1677837,"KDDF"
"57",498416,"KCRY"
"58",167402,"W220AC"
"59",1536151,"KNSQ"
"60",1418826,"K201IH"
"61",1029353,"KQNC"
"62",1641410,"K201IS"
"63",1216129,"K201ES"
"64",247670,"KEBR"
"65",19061,"KSRH"
"66",1546881,"KZSC"
"67",1336132,"KZSC"
"68",1503229,"K201AJ"
"69",1536484,"K201FV"
"70",1795806,"K201IL"
"71",1771688,"K201FK"
"72",1017639,"KDNK"
"73",1473863,"KAFM"
"74",1304075,"K201HV"
"75",1781762,"KVOD"
"76",1136987,"K201HJ"
"77",1384454,"K201EC"
"78",1242254,"KPGS"
"79",1402403,"KMPZ"
"80",1803748,"K201IP"
"81",1829370,"KHTU"
"82",1427402,"KHTU"
"83",1390741,"WESU"
"84",148346,"WMNR"
"85",231654,"WMNR"
"86",1197719,"WMNR"
"87",498543,"WMHS"
"88",88467,"WJIS"
"89",1571102,"WUBA"
"90",286517,"WRGP"
"91",1618835,"WCRJ"
"92",1538617,"WHIJ"
"93",1492603,"WUWF"
"94",1636841,"WUWF"
"95",1568206,"WMKJ"
"96",167753,"WGTF"
"97",166731,"DDK38FO-D"
"98",166338,"WDHT"
"99",167131,"DK09QF"
"100",679198,"WAYF"
"101",1169155,"W201CC"
"102",118020,"880914MW"
"103",1420805,"WNEE"
"104",1096709,"WLXP"
"105",1505537,"WRJS"
"106",1513159,"WAYT"
"107",1585489,"WJSP-FM"
"108",1633530,"W201DM"
"109",1364896,"KHMG"
"110",167374,"KMGZ"
"111",189729,"KTMO"
"112",1567205,"K201FQ"
"113",1480489,"KHPR"
"114",1804211,"KHPR"
"115",1515257,"KHPR-FM1"
"116",167196,"DK09TI"
"117",166214,"DK36CS"
"118",167422,"DW66BN"
"119",187502,"WBOZ"
"120",39713,"KICB"
"121",162295,"DK11KD"
"122",1521177,"KOIA"
"123",222501,"KBBG"
"124",1078591,"KTFY"
"125",1744558,"KRRB"
"126",1506545,"K201IG"
"127",167361,"KDNE"
"128",37880,"WESN"
"129",1478408,"WWTG"
"130",1237316,"WZGL"
"131",83208,"WCRX"
"132",196200,"WSEG"
"133",610237,"WBMF"
"134",204511,"WNLD"
"135",603032,"WAXR"
"136",167351,"DKHGI-CA"
"137",1780746,"WIHM-FM"
"138",1805849,"W201BL"
"139",81492,"WLTL"
"140",666894,"WLRA"
"141",1408536,"WPTH"
"142",581545,"WLWJ"
"143",1412085,"WTZI"
"144",1556684,"WSOG"
"145",417201,"WLWX"
"146",166184,"WHUN-FM"
"147",131412,"WGEE"
"148",1285728,"WVPE"
"149",971455,"WMBL"
"150",129547,"WYCE"
"151",50683,"WNAS"
"152",611009,"WKRY"
"153",1331927,"W201BO"
"154",1619987,"WSRC"
"155",1424235,"KZCK"
"156",277203,"KBTL"
"157",1414951,"KRTT"
"158",1411947,"KVDM"
"159",1448329,"KJVL"
"160",282601,"KBCU"
"161",1747435,"KJTY"
"162",166655,"DW22DA"
"163",1071090,"WAYD"
"164",1783085,"WTRT"
"165",108670,"DDW50CF"
"166",178507,"WDFB-FM"
"167",166440,"WITA"
"168",166643,"WSTO"
"169",1373085,"WRFL"
"170",269962,"WAXG"
"171",1104185,"WKVY"
"172",542653,"KAYT"
"173",1457192,"K201FO"
"174",1689754,"KPAQ"
"175",161504,"KQIN"
"176",167344,"WMGM-LP"
"177",167353,"KCWH-LD"
"178",1378699,"WFHL"
"179",118138,"WCHC"
"180",1234001,"WYPR"
"181",1068031,"WYPF"
"182",1425410,"WGWS"
"183",1806556,"WMEY"
"184",136984,"WBXJ-CD"
"185",120196,"WAPE-FM"
"186",586328,"W201CF"
"187",184207,"K24DT-D"
"188",494495,"NEW"
"189",167505,"KOAN"
"190",1149892,"WBLW"
"191",162339,"WUZR"
"192",694663,"WHYT"
"193",1575605,"WSFP"
"194",1423983,"WHPR-FM"
"195",166056,"DWCJT-LP"
"196",167778,"DWHOK-FM1"
"197",1125915,"WLGH"
"198",162805,"WWPG"
"199",1071912,"WSMF"
"200",1804904,"WSMF"
"201",1667929,"WSDP"
"202",167777,"K236AC"
"203",1372164,"WYCE"
"204",167167,"DK09RR"
"205",167482,"WGBP-TV"
"206",1682359,"KAWD-LP"
"207",1649840,"K201IQ"
"208",166960,"DK04HV"
"209",1743401,"K201IX"
"210",1424490,"K201BW"
"211",167620,"KFAN-FM"
"212",165772,"K38CZ-D"
"213",166956,"DK04IL"
"214",1549741,"WAJC"
"215",82841,"KRLX"
"216",1410077,"KRFI"
"217",167674,"KVHD-LD"
"218",178415,"KVSC"
"219",1592264,"KRLP"
"220",608774,"KLFC"
"221",1303707,"KZGM"
"222",1520932,"KLWL"
"223",1355314,"KCOU"
"224",167541,"DK67AY"
"225",166716,"WBAJ"
"226",167014,"DW53AW"
"227",574358,"K201GD"
"228",111124,"KDHX"
"229",1225766,"KDHX"
"230",1439260,"KHJR"
"231",248595,"KRNM"
"232",166988,"DK13TW"
"233",1683218,"WDSW-LP"
"234",1371047,"WOLM"
"235",167031,"DK57DE"
"236",115296,"WURC"
"237",1313167,"WMAW-FM"
"238",1641532,"KGFJ"
"239",1779055,"KOFK-FM"
"240",167455,"KATQ"
