state,size
Utah,3.04
Hawaii,2.92
California,2.89
Texas,2.73
Alaska,2.67
Idaho,2.67
Georgia,2.65
Nevada,2.64
New Jersey,2.64
Maryland,2.6
Arizona,2.56
Louisiana,2.56
Mississippi,2.55
New Mexico,2.55
New York,2.55
Virginia,2.55
Alabama,2.53
Florida,2.53
Oklahoma,2.53
Washington,2.53
Arkansas,2.51
Illinois,2.51
Delaware,2.5
Tennessee,2.5
Indiana,2.49
Colorado,2.48
Connecticut,2.48
Kansas,2.48
Kentucky,2.48
North Carolina,2.48
South Carolina,2.47
Massachusetts,2.46
Minnesota,2.46
Nebraska,2.46
New Hampshire,2.46
Oregon,2.46
Michigan,2.45
Missouri,2.44
South Dakota,2.44
Rhode Island,2.43
West Virginia,2.43
Pennsylvania,2.42
Wyoming,2.41
Iowa,2.4
Ohio,2.4
Montana,2.39
Wisconsin,2.37
North Dakota,2.34
Vermont,2.33
Maine,2.29
District of Columbia,2.03
Puerto Rico,2.8
