season,x,y
1,Elizabeth,Zac
1,Elizabeth,Zac
1,Elizabeth,Zac
1,Elizabeth,Zac
1,Elizabeth,Zac
1,Zac,Elizabeth
1,Zac,Elizabeth
1,Zac,Elizabeth
1,Zac,Elizabeth
1,Zac,Elizabeth
1,Alexandra,Michael
1,Alexandra,Dylan
1,Alexandra,Dylan
1,Alexandra,Dylan
1,Alexandra,Dylan
1,Dylan,Alexandra
1,Dylan,Alexandra
1,Dylan,Alexandra
1,Dylan,Alexandra
1,Caro,Cashel
1,Caro,Cormac
1,Caro,Cormac
1,Caro,Ray
1,Caro,Ray
1,Ray,Caro
1,Ray,Caro
1,Emily,Weston
1,Weston,Mallory
1,Weston,Mallory
1,Weston,Katrina
1,Weston,Kelsey
1,Weston,Emily
1,Jered,Kyra
1,Kyra,Cashel
1,Kyra,Cashel
1,Kyra,Cashel
1,Kyra,Eric
1,Kyra,Jered
1,Aissata,Yamen
1,Aissata,Yamen
1,Yamen,Alana
1,Yamen,Alana
1,Yamen,Christen
1,Yamen,Aissata
1,Yamen,Aissata
1,Eric,Kyra
1,Kelsey,Weston
1,Cashel,Caro
1,Cashel,Kyra
1,Cashel,Kyra
1,Cashel,Kyra
1,Cashel,Katrina
1,Katrina,Weston
1,Katrina,Cashel
1,Christen,Yamen
1,Cormac,Caro
1,Cormac,Caro
1,Alana,Yamen
1,Alana,Yamen
1,Mallory,Weston
1,Mallory,Weston
1,Michael,Alexandra
2,Caleb,Rachel
2,Caleb,Justine
2,Caleb,Justine
2,Caleb,Justine
2,Caleb,Justine
2,Caleb,Justine
2,Justine,Jeremiah
2,Justine,Tre
2,Justine,Tre
2,Justine,Caleb
2,Justine,Caleb
2,Justine,Caleb
2,Justine,Caleb
2,Justine,Caleb
2,Cely,Tre
2,Cely,Johnny
2,Cely,Johnny
2,Cely,Johnny
2,Cely,Johnny
2,Cely,Johnny
2,Cely,Johnny
2,Cely,Johnny
2,Cely,Johnny
2,Johnny,Cely
2,Johnny,Cely
2,Johnny,Cely
2,Johnny,Cely
2,Johnny,Cely
2,Johnny,Cely
2,Johnny,Cely
2,Johnny,Cely
2,Calvin,Moira
2,Calvin,Moira
2,Calvin,Sher
2,Calvin,Kierstan
2,Calvin,Moira
2,Calvin,Moira
2,Moira,James
2,Moira,James
2,Moira,Calvin
2,Moira,Calvin
2,Moira,Aaron
2,Moira,Connor
2,Moira,Calvin
2,Moira,Calvin
2,Carrington,Kaitlynn
2,Carrington,Kierstan
2,Carrington,Kierstan
2,Carrington,Kierstan
2,Carrington,Laurel
2,Carrington,Laurel
2,Carrington,Laurel
2,Carrington,Laurel
2,Laurel,Carrington
2,Laurel,Carrington
2,Laurel,Carrington
2,Laurel,Carrington
2,Bennett,Kierstan
2,Bennett,Lakeyn
2,Lakeyn,Bennett
2,Kierstan,Carrington
2,Kierstan,Carrington
2,Kierstan,Carrington
2,Kierstan,Calvin
2,Kierstan,Bennett
2,Connor,Mackenzie
2,Connor,Mackenzie
2,Connor,Mackenzie
2,Connor,Mackenzie
2,Connor,Saved
2,Connor,Moira
2,Aaron,Moira
2,Aaron,Mackenzie
2,Jalen,Mackenzie
2,Jalen,Sher
2,Mackenzie,Connor
2,Mackenzie,Connor
2,Mackenzie,Connor
2,Mackenzie,Connor
2,Mackenzie,Saved
2,Mackenzie,Jalen
2,Mackenzie,Aaron
2,Sher,Calvin
2,Sher,Jalen
2,Tre,Cely
2,Tre,Justine
2,Tre,Justine
2,Tre,Lauren
2,Lauren,Tre
2,Rachel,Jeremiah
2,Rachel,Caleb
2,James,Moira
2,James,Moira
2,Jeremiah,Justine
2,Jeremiah,Rachel
2,Kaitlynn,Carrington
3,Korey,Kyra
3,Korey,Trina
3,Korey,Florita
3,Korey,Cashay
3,Korey,Leslie
3,Korey,Olivia
3,Olivia,Javonny
3,Olivia,Javonny
